Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
"Hurtigruta Carglass AS, avd. Asker";"Alfheim 7, Grindergården";1387;ASKER;BILGLASS;985758220
FRÆNA BILPLEIE SVEIN OVE MYRBOSTAD;HOLAMYRA 1-7;6445;MALMEFJORDEN;BILGLASS;968229958
Cars AS;Tomtaveien 9;1449;DRØBAK;"BILVERKSTED01, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01, PABYGGER, BILSKADE";979607245
Møller Øst avd Møller Bil Ryen A/S ;Enebakkveien 154;0680;OSLO;"BILVERKSTED01B, KONTROLLORGAN01B";917805717
ØE INVEST AS;Husebysletta 19;3414;LIERSTRANDA;"HJUL, EKSOSANLEGG";988394734
Skeie Bilverksted;Skeisleira 55;5217;HAGAVIK;"BILVERKSTED01, KONTROLLORGAN01";970002227
NAKKENS BILVERKSTED AS;Vegsundbakken 22;6020;Ålesund;"BILVERKSTED01, KONTROLLORGAN01";996899985
HOVATN BIL AS;INDUSTRITOPPEN 4;4848;ARENDAL;"KONTROLLORGAN01, BILVERKSTED01";917503680
Frya Bil AS;Flyplassvegen 55;2630;RINGEBU;"BILVERKSTED01, KONTROLLORGAN01";992119381
Auto 1 Elnesvågen AS;Eidem;6440;ELNESVÅGEN;"BILVERKSTED01B, KONTROLLORGAN01B";995419963
Volmax AS skadesenter;Borgeskogen 48;3160;STOKKE;BILSKADE;984674104
Sørkjos Storbil AS;Brennmoveien 24;9050;STORSTEINNES;"BILVERKSTED02, BILVERKSTED03, TRAKTOR, FARTSSKRIVER";912672840
BILENS UTSEENDE AS;STEMMANE 27;4636;KRISTIANSAND S;HJUL;920174477
Berg`s Automatservice AS;ØSTRE AKER VEI 206F;0975;OSLO;"BILVERKSTED01B, KONTROLLORGAN01B";982561531
"Bertel O Steen Vestfold AS, avd. Tønsberg";Slagenveien 67;3105;Tønsberg;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";918707565
Snap Drive As avd. Forus;Jakob Askelandsvei 4;4314;Sandnes;"KONTROLLORGAN01B, BILVERKSTED01B";971585188
NYE HOLMESTRAND LAKKERING AS;BARSTADVEIEN 15;3089;HOLMESTRAND;BILSKADE;819982082
Last og Tank AS avd. TAB;Rudsletta 90;1351;RUD;"BILVERKSTEDALLE, KONTROLLORGAN04, FARTSSKRIVER";942257155
HØYLAND AUTO as;Høylandsvegen 335;5913;EIKANGERVÅG;"BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B";861105342
Namsos Bilteknikk AS;Namdalsveien 62;7805;NAMSOS;"BILVERKSTED01B, MOTORSYKKELOGMOPED, TRAKTOR, KONTROLLORGAN01B";989683233
BJARNE SCHEI AS;SKEIVEGEN 8;6650;SURNADAL;HJUL;980779017
Fenstad Auto AS;Eidsvollveien 831;2170;FENSTAD;"BILVERKSTED01, KONTROLLORGAN01";932763486
"Vianor AS, avd Steinkjer";Bogavegen 18;7725;STEINKJER;HJUL;935429447
STEINSPRUTEN BILGLASS AS AVD JESSHEIM;Industriveien 21;2050;JESSHEIM;BILGLASS;997719670
HÆHRE & ISACHSEN VERKSTED AS;Heggenveien 30;3370;VIKERSUND;BILVERKSTED03;934176472
LUNDEBY AUTO A.S.;Lundebyveien 415 (Fjellstad);1878;Hærland;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";976679547
SVEEN AUTO AS;Øyskogvegen 5;6652;SURNA;"BILVERKSTED01, KONTROLLORGAN01";939219498
Auto Nybergsund Gjermund Dybendal ;Elvdalsvegen 2;2422;Trysil;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";985087091
ALTI-BILOPPRETTING AS;Odalsgata 25;2003;LILLESTRØM;BILSKADE;943532664
Ø.A. KANESTRØM MEK. VERKSTED;Straumsnesvegen 614;6674;KVISVIK;HJUL;975354482
Follebu Bil AS;Volden 11;2656;FOLLEBU;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";970902384
FELLESKJØPET AGRI SA;Ankersgate 22;3513;HØNEFOSS;TRAKTOR;911608103
Araz Auto A/S;Svanvikvegen 300;3739;SKIEN;"BILVERKSTED01, KONTROLLORGAN01";914070678
GMS-Gjøvik Motor Service AS;Ringvegen 13 b;2816;GJØVIK;MOTORSYKKELOGMOPED;976916786
NORMOG AS;HEIASVINGEN 36;1900;FETSUND;"BILVERKSTED01B, TRAKTOR, BILVERKSTED03";980323404
PIT STOP LUNDE AS;STRENGENVEGEN 33;3825;LUNDE;HJUL;914583187
Hallmaker Byggservice AS;Sundvollhovet ind. område;3535;KRØDEREN;BILVERKSTED01;986018522
Vest Traktor AS;Øyrane 5;6800;FØRDE;TRAKTOR;940369061
SKJØRSTAD BIL AS;Flatan 28;7629;Ytterøy;"BILVERKSTED01B, KONTROLLORGAN01B";943635706
DEKKMANN AS AVD Trondheim Tiller 5844;Kvenildmyra 3;7072;HEIMDAL;"HJULUTRUSTNING, HJUL";974292890
BILUTSTYR TUVEN AS;INGER FLOODS VEG 18;3676;NOTODDEN;HJUL;982754054
TH BILSERVICE AS;Skjebergveien 143;1743;KLAVESTADHAUGEN;"BILVERKSTED01, KONTROLLORGAN01";919232056
VITAR SERVICE AS;KILVIK;8178;HALSA;HJUL;975832384
Gjølberg Bil AS;Smiløkka 3;3173;VEAR;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";943035504
SNAP DRIVE TILLER AS;Østre Rosten 76;7075;TILLER;"BILVERKSTED01, KONTROLLORGAN01";971585188
LENA MASKIN AS AVD RØN;Fosheimvegen 67 2690 Røn;2870;DOKKA;TRAKTOR;973131095
RK AUTO AS;FYRSTIKKBAKKEN 7;0667;OSLO;BILSKADE;920537170
THUEN & MATRE AS;INDUSTRIVEGEN 81;5210;OS;"BILVERKSTED01, KONTROLLORGAN01";985243158
Nordhagen Billakkering;Frydenlundveien 5;1815;ASKIM;BILSKADE;966804874
HORTEN BILGLASS AS;TOMTEGATA 4;3183;HORTEN;BILGLASS;994853147
Olsen Auto Jessheim AS;Asfaltvegen 3;2069;JESSHEIM;"BILVERKSTED01, KONTROLLORGAN01";811717142
LØDINGEN BILSERVICE AS;SJØVEGEN 62;8410;LØDINGEN;"BILVERKSTED01B, KONTROLLORGAN01B";892035792
Vibemyr Bilverksted AS;Nikkelveien 8;4313;Sandnes;"BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED";991877894
SHELL BRØNNØYSUND AO SERVICE AS;Sømnaveien 103;8900;BRØNNØYSUND;HJUL;988133329
Kalandseid Karosseri as;Ertrev 11;5229;KALANDSEIDET;PABYGGER;978664334
Bertel O. Steen avd. Arendal;Postboks 1528 Stoa;4856;ARENDAL;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";913206150
Rindal Auto AS;Rindal;6657;RINDAL;"BILVERKSTED01B, KONTROLLORGAN01B, BILVERKSTED01, KONTROLLORGAN01";912178870
Lye Bil AS;Prestegårdsmarka 1;4340;BRYNE;"BILVERKSTED01, KONTROLLORGAN01";988720461
Auto Speed DA Fix Bil;Fanavegen 15;5221;NESTTUN;BILSKADE;948474956
Skaugs Servicesenter AS;Fremstadvegen 14;2383;BRUMUNDDAL;"BILVERKSTED01B, KONTROLLORGAN01B";859971652
GREÅKER BILKONTROLL AS.;Eikveien 26;1720;Greåker;"BILVERKSTED01, KONTROLLORGAN01";951257303
Hemnes Bilverksted Berger;Sykehjemsvegen 14;1970;HEMNES;BILVERKSTED01;997431650
Østli Servicesenter AS;Svartbekkveien  74;2406;ELVERUM;"BILVERKSTED01, KONTROLLORGAN01";994299735
Bekk`s Karosseri og Bil;Vålaugsvegen 143;2032;MAURA;BILSKADE;848154482
Blomvikveien Bilservice Gunnar Utnes;Blomvikveien 7;8516;Narvik;"BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01";971006471
Hanebo & Sortvik AS;Sluppenvegen 1;7037;TRONDHEIM;HJULUTRUSTNING;935167043
HAUGESUND AUTOSERVICE AS;RAGLAMYRVEGEN 22;5536;HAUGESUND;"BILVERKSTED01B, KONTROLLORGAN01B";916794991
Ulf Øverbye A/S;Gardermovegen 13;2050;JESSHEIM;MOTORSYKKELOGMOPED;918529810
"Felleskjøpet Agri SA, avd Koppang";Sundfloveien 8;2480;KOPPANG;TRAKTOR;911608103
DELTRANS AS;Elvahusvegen 6;6658;RINDALSSKOGEN;"LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG, HJUL";936395325
NAF Senter Mosjøen ;Lensegaten 18;8656;Mosjøen;"KONTROLLORGAN01, BILVERKSTED01";987372540
Høiden MC-Senter AS;Ryggeveien 121;1570;DILLING;MOTORSYKKELOGMOPED;912824381
Ødegården Auto A/S;Sam Eydes vei 1;1412;SOFIEMYR;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";979466811
Jessheim Bil AS;Vognvegen 10;2072;DAL;"BILVERKSTED01, KONTROLLORGAN01";918536469
Etac Bil As;Helgelandsmoen Næringspark Bygg nr. 40 Hall E-G;3512;HØNEFOSS;"BILVERKSTED01, PABYGGER";999065465
AUTO BILVERKSTED DEKK & GLASS Ahmet Yasar;Tegleverksveien 99;3057;SOLBERGELVA;"BILVERKSTED01, KONTROLLORGAN01";996667022
Bekkestua Bilskade AS;Furuveien 4;1356;Bekkestua;BILSKADE;989831313
Volmax AS avd. Telemark;Ulefossvegen 48;3730;SKIEN;"FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTEDALLE";984674104
MCE A/S;Tonganev. 53;5590;ETNE;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN04";982837553
SULLAND FREDRIKSTAD BMW;Smørbøttaveien 11;1617;FREDRIKSTAD;"BILVERKSTED01B, KONTROLLORGAN01";945727772
Bilskadesenteret Narvik AS;Fagernesveien 138;8514;NARVIK;BILSKADE;985422613
Rud Bilservice AS;Rudssletta 72;1351;RUD;"BILVERKSTED01, KONTROLLORGAN01";913653866
HANDICARE ASA;Stanseveien 27;0976;OSLO;PABYGGER;965395830
HALLINGDAL FORMIDLING AS;TORPOVEGEN 82;3579;TORPO;"BILVERKSTED01, KONTROLLORGAN01";915865925
Høylandet Auto AS avd. Namsos;Sivavegen 6;7820;Spillum;"BILVERKSTED01, KONTROLLORGAN01";912924424
VITO SETERMOEN AS;Fogd Holmboes gate 54;9360;BARDU;"LYSUTSTYR, HJUL, HENGERESPALOPSBREMSEANLEGG, EKSOSANLEGG, BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";989877690
DEKKMANN avd  Kristiansand;Skibåsen 42D;4696;KRISTIANSAND S;HJUL;966242825
Ski Karosseri & Autoservice AS;Dynamittveien 23;1400;SKI;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";980247112
Auto Rep A/S;Lillesandsveien 3 ;4876;Grimstad;"BILVERKSTED01, KONTROLLORGAN01";912092348
TE CONSULT TROND ENSRUD;FOSSERVEIEN 275;1963;FOSSER;"HJUL, BILSKADE";994800760
FRØYA AUTO AS; Hammarvikbakkan 28;7263;HAMARVIK;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";947619020
Kjells Bil;Brunlanesveien 834;3267;LARVIK;BILSKADE;970551409
Borgedal Bilservice AS;Tromsnesvegen 79;2634;FÅVANG;"BILVERKSTED01B, KONTROLLORGAN01B";892897352
STEINSPRUTEN BILGLASS AVD. LILLEHAMMER AS;Hovemovegen 35;2624;LILLEHAMMER;BILGLASS;997719670
Etne Service Senter AS;Haukelivegen 945;5590;ETNE;"BILVERKSTED01B, KONTROLLORGAN01B";978669581
Sulland Harstad AS;Samagata 33;9403;HARSTAD;"BILSKADE, KONTROLLORGAN01, BILVERKSTED01B";943604770
IR AUTOSENTER AS;ØSTRE AKER VEI 243;0976;OSLO;"BILVERKSTED01, KONTROLLORGAN01";812575112
Motorhuset Oppdal AS;Smivegen 3;7340;OPPDAL;"FARTSSKRIVER, BILVERKSTEDALLE, MOTORSYKKELOGMOPED, PABYGGER, TRAKTOR, KONTROLLORGAN04";916311400
"TEAM VERKSTED TRØNDELAG AS, avd. Steinkjer";Jæktskippergata 3;7725;STEINKJER;"KONTROLLORGAN04, BILVERKSTEDALLE, HJUL";930462640
Slatlem Kristiansund AS;Verkstedveien 4;6517;KRISTIANSUND N;"BILVERKSTED01B, KONTROLLORGAN01B";999552471
Hans Einar Kokslien Maskinservice;Øvre veg 541;2838;SNERTINGDAL;"BILVERKSTED01, KONTROLLORGAN01";969111470
NAMDALSEID TAXI TORE ELDNES;Korsen;7750;NAMDALSEID;HJUL;956772052
Bil & Mekaniske AS;Industriv 3;4380;Hauge i Dalane;"BILVERKSTED01B, KONTROLLORGAN01B";914286662
ENGAN AUTO AS;Rambrautsvegen 23;7234;LER;"MOTORSYKKELOGMOPED, EKSOSANLEGG, BILGLASS, LYSUTSTYR, HJUL, HENGERESPALOPSBREMSEANLEGG";915522890
Hedalen Sveis og Rep.;HEDALSVEGEN 2238;3528;HEDALEN;"BILVERKSTED01, KONTROLLORGAN01";920865380
Halkjelsvik Bilverksted AS;Industrigata 19;6100;VOLDA;"BILVERKSTED01B, KONTROLLORGAN01B";913769112
Solgårds Auto AS;Idrettsveien 4;1640;Råde;"BILVERKSTED01B, KONTROLLORGAN01B";999003001
DEKKMANN AS avd Furuset;Søren Bulls vei 2 ;1051;OSLO;"KONTROLLORGAN01, BILVERKSTED01, HJULUTRUSTNING, HJUL";966242825
RIIS MONTASJE AS avd. Stavanger;Hillevågsveien 91;4016;STAVANGER;BILGLASS;921979436
GLASVERKSTADEN  ;LANGEMYRA 3;6160;HOVDEBYGDA;BILGLASS;961633257
Bertel O. Steen Østfold AS;Solgaard skog 11;1599;Moss;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";915281168
Alta Motorsenter AS;Aronneskjosen;9509;Alta;"BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B";967960217
Hallingdal Lastebilservice AS;Glitre Industriområde;3550;GOL;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";947726196
Vegårshei Motorsenter A/S;Myra;4985;vegårshei;"BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01";980849007
Kristoffersen Bil AS;Martin Moes gt. 10;7503;STJØRDAL;"BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B";977188202
NORHEIM KAROSSERIVERKSTED AS;NOREVEGEN 18;5542;KARMSUND;BILSKADE;914747503
RASTA GLASS AS;EIDSKOGVEGEN 46;2211;KONGSVINGER;BILGLASS;939357777
SIGNATURE CARS AS;RØDTVETVEIEN 77;0955;OSLO;HJUL;918031391
TOYOTA BILIA ORKANGER;Løypstrengen 14;7300;ORKANGER;"BILSKADE, BILVERKSTED01, KONTROLLORGAN01";980648915
EKSOS PARTNER AS;RUDSSLETTA 82;1351;RUD;EKSOSANLEGG;997397738
TEVO DEKK AS AVD STJØRDAL;Havnegata 41;7502;STJØRDAL;HJUL;995179989
DEKK1 AS avd 110 Sandnes;Gravarsveien 30;4306;SANDNES;"HJUL, HENGERESPALOPSBREMSEANLEGG";979579292
T. Høyland Bilverksted AS;Bjorhaugslettå 8 ;4365;NÆRBØ;"BILVERKSTED01, KONTROLLORGAN01";980110931
RENA SERVICESENTER AS;SJØGATA 1;2450;RENA;"BILVERKSTED01, KONTROLLORGAN01";916226659
CARGLASS AS;Fyrstikkallen 1;0661;OSLO;BILGLASS;985758220
Møller Bil Bergen AS avd. Drotningsvik  ;Janaflaten 20;5179;GODVIK;"BILVERKSTED01B, KONTROLLORGAN01B";834083922
Nordic Last & Buss AS Alta;Bjørn Wirkolas vei 11;9510;ALTA;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04";979463332
NARDO BIL NORD-TRØNDELAG AS avd Stjørdal;HAVNEGATA 20A;7503;STJØRDAL;"BILVERKSTED01B, KONTROLLORGAN01B";919171391
Bilservice Tromsdalen AS;Hungerveien 7B;9020;Tromsdalen;BILVERKSTED01;980490874
ÅKRA DEKKSENTER AS;BEDEHUSVEGEN 10;4270;ÅKREHAMN;HJUL;919920300
VARNAVEIEN BILPLEIE & SERVICE AS;VARNAVEIEN 27;1526;MOSS;"BILGLASS, HJUL";919649542
Haugen Bilrep og service AS;Skjærvaveien 20;1466;STRØMMEN;"BILVERKSTED01, KONTROLLORGAN01";998657970
ELVERUM BILVERKSTED AS;TOROLF STORSVEENS VEG 25;2406;ELVERUM;"BILVERKSTED01, KONTROLLORGAN01";811957232
Bilskadespesialisten AS;Nensetbakken 22;3736;SKIEN;"BILVERKSTEDALLE, BILSKADE";987310529
BBF VERKSTED OG SERVICE AS;Porsgrunnsvegen 192;3735;SKIEN;"KONTROLLORGAN01, BILVERKSTED01";920585418
"CARGLASS AS, avd Skøyen";Hoffsveien 10;0275;OSLO;BILGLASS;985758220
Abil AS;Strandveien 68;9300;FINNSNES;"BILVERKSTED01, KONTROLLORGAN01";991075682
Kapp Bil og Karosseriverksted AS    ;;2858;KAPP;BILSKADE;987650338
Ingebrigt Dalset bilverksted;Rødven;6350;Eidsbygda;"BILVERKSTED01B, TRAKTOR";959662010
Midthus Maskin;Sletta;2850;LENA;BILVERKSTED01;994831593
Vatningen bil og landbruk;"Skollerud, Vestre Ådal 317";3516;Hønefoss;"BILVERKSTED01, KONTROLLORGAN01";970102698
Felleskjøpet Agri SA;Husøynvegen;3550;GOL;TRAKTOR;911608103
VRÅDAL BILSENTER;Kviteseidvegen 1883;3853;Vrådal;"BILVERKSTED01B, KONTROLLORGAN01B";969966719
CF-MASKIN MELHUS AS;Storsandvegen 30;7224;MELHUS;TRAKTOR;978690939
Frydenbø Bilsenter AS;Haldbrendsøyra 8;6800;FØRDE;"BILVERKSTED01, KONTROLLORGAN01";967149098
SKJOLD SERVICENTER AS;Skjoldeavikvegen 170;5574;SKJOLD;HJULUTRUSTNING;972417041
MOTOR FORUM AS AVD. SKIEN;Kjørbekkdalen  13;3735;SKIEN;"BILVERKSTED01B, KONTROLLORGAN01";957290795
Helgeland Bilskade AS;Ranenget 5;8626;Grubhei;BILSKADE;974683121
SENTRUM BILVERKSTED A/S;Øran Vest;6300;Åndalsnes;"BILVERKSTED01B, KONTROLLORGAN01B";845693722
BAKKAN UTLEIE;FJELLESTADVEGEN 38;4715;ØVREBØ;HJUL;891955332
BILSKADESENTERET FAUSKE AS;Bergverksveien 9;8201;Fauske;BILSKADE;915589448
Fosen Verkstedsenter AS;Vassnesset;7170;ÅFJORD;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04";993438189
Volvo Truck Center AS avd. Maura;Kopperudmoen Industrifelt ;2032;MAURA;BILVERKSTEDALLE;910712799
Nardo Bil Nordvest  AS;Fannestrandsvegen 51b;6415;MOLDE;"BILVERKSTED01, KONTROLLORGAN01";912440923
Felleskjøpet Agri SA avd. Mosjøen;Mathias Bruuns gate 3;8657;MOSJØEN;TRAKTOR;911608103
Boreal Transport Nord AS;Hessengveien 7;9912;HESSENG;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04";979437218
Auto Service  (Valle);Valle;4747;Valle;BILVERKSTED01;835488772
"Bulder verksted AS, Verksted Sarpsborg";Gamle Kongevei 101;1712;Grålum;"BILVERKSTEDALLE, KONTROLLORGAN04, KONTROLLORGAN01B, BILVERKSTED01B";993026352
ALLMETALL AS;Gjerivegen 91;2022;GJERDRUM;PABYGGER;992407360
Vianor AS avd. Lillehammer;Industrigata 47;2619;LILLEHAMMER;"BILVERKSTED01, KONTROLLORGAN01, HJUL";935429447
BRÅTENS AUTOSERVICE AS;Sørkjosveien;9050;STORSTEINNES;"BILVERKSTED01, HJUL";998340411
LILLESTRØM DEKKSENTER AS;SLOGUMVEIEN 161;2015;LEIRSUND;HJUL;914633818
Lørenskog Bilskadesenter AS;Fjellhammerveien 27;1472;FJELLHAMAR;BILSKADE;995811758
Kaldheims Auto AS;Sandeidvegen 363;5585;Sandeid;"FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01, KONTROLLORGAN02, KONTROLLORGAN03";992047232
Steinkjer Motorsenter AS;Hamnegata 20;7714;STEINKJER;MOTORSYKKELOGMOPED;976621824
KW MC & MASKINERINGSTEKNIKK DA;Tøråskvernvegen 63;2436;VÅLER I SOLØR;MOTORSYKKELOGMOPED;983936474
Høyland Motor og Dykking;Doneheia 76;4516;MANDAL;BILVERKSTED01;893028382
Knapphus Dekk & Bilverksted A/S;Knapphus;5576;Øvre Vats;"BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN03, PABYGGER, FARTSSKRIVER, KONTROLLORGAN02";980235149
RYDS BILGLASS AS- Sandefjord;Møllergate 1A ;3210;SANDEFJORD;BILGLASS;913387783
"Norsk Scania AS, avd. Skien";Bøleveien 184;3713;SKIEN;"FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN03";879263662
Oseberg Mekaniske;Syvde;6140;SYVDE;"BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B";996851761
Jæger Sentrum as;Kokstadveien 42B;5257;KOKSTAD;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";976070097
Anders Gåsholt;Hedrumv. 805;3270;LARVIK;BILSKADE;982131197
GLASS-SERVICE AS;RÅHOLTVEGEN 98A;2070;RÅHOLT;BILGLASS;992411309
DEKKGUTTA AS;GENERAL RUGES VEI 107C;0694;OSLO;HJUL;815649982
Sandberg Auto AS;Løxaveien 5;1351;RUD;"BILVERKSTED01, KONTROLLORGAN01";988720801
BILBERGING VADSØ V/JAN PETTER OLSEN;BÅTSFJORDVEIEN 14;9800;VADSØ;HJUL;888933522
TEMPE BIL;Tempevegen 17;7037;TRONDHEIM;"BILVERKSTED01, KONTROLLORGAN01";957325432
City Bil & Elektro AS;Håndverkervn. 5;9018;TROMSØ;"BILVERKSTED01, KONTROLLORGAN01";944568212
Årnes Bil og Karosseriverksted A/S;Øvre Hagaveg 1A;2150;ÅRNES;"BILVERKSTEDALLE, BILSKADE, KONTROLLORGAN04";943348863
"JÆREN STORBIL SENTER AS, avd. Bryne";Hålandsvegen 33;4340;Bryne;BILSKADE;986348670
HEMNES GLASS OG RAMMESERVICE ;Langstranda 5;1970;HEMNES;BILGLASS;971050810
BLJ Motorsenter AS;Frostvedtveien 103;3269;LARVIK;MOTORSYKKELOGMOPED;911695057
GLASS OG RAMME AS;OGNDALSVEGEN 115;7716;STEINKJER;BILGLASS;980692302
Drift og Vedlikehold AS;Løkkeåsveien 22c;3138;SKALLESTAD;"BILVERKSTED01, KONTROLLORGAN01";997914104
Drift24 AS;Lilleelvegaten 34;3915;PORSGRUNN;"BILVERKSTED01, KONTROLLORGAN01";993412856
Tvervik Billakkering AS;Heddalsvegen 37;3674;NOTODDEN;BILSKADE;991219420
Lillehammer Bilverksted AS;Storgata 136;2615;LILLEHAMMER;BILVERKSTED01;912153797
"Saltvedt Auto AS,";Fjellveien 2;5532;Haugesund.;"BILVERKSTED01, BILSKADE";943993890
Felleskjøpet Agri SA avd. Verdal;Russerveien 4;7652;VERDAL;"TRAKTOR, HENGERESPALOPSBREMSEANLEGG";911608103
S.T AUTOSALG SAMIR THAQI;KIRKEVEGEN 55;4055;SOLA;HJUL;917675619
HÆHRE & ISACHSEN AUTO AS;HEGGENVEIEN 11;3370;VIKERSUND;"BILVERKSTED01, KONTROLLORGAN01";917188807
Tynset Bil & Mc AS;Elvegata 9A;2500;Tynset;"BILVERKSTED01, MOTORSYKKELOGMOPED";983469272
RIIS MONTASJE AS AVD. STRAUME;IDRETTSVEGEN 53;5353;STRAUME;BILGLASS;979224907
Lazy Boys Speed & Custom Works AS;Strømsveien 266;0668;OSLO;MOTORSYKKELOGMOPED;971179465
GEA TRAFIKKSENTER AS;RYFYLKEVEGEN 5391;4137;ÅRDAL I RYFYLKE;BILVERKSTED01B;939403922
Auto 8-8 HAUKEBØ & RØDSETH AS;Enenvegen 1 A;6402;Molde;"BILVERKSTED01B, KONTROLLORGAN01B";912511782
DEKKTEAM AS avd. Tønsberg;Fjordgata 7;3125;TØNSBERG;HJUL;870897332
RS AUTOSERVICE AS;Heimdalsveien 211;7083;LEINSTRAND;HJUL;990344612
TEVO DEKK AS AVD TRONDHEIM;Kvenildmyra 12;7072;HEIMDAL;HJUL;995179946
SHR AUTOSERVICE AS;INGESKOGEN 1;6036;MAUSEIDVÅG;"KONTROLLORGAN01, BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01B";919512768
KG MOTOR AS;ROKKEVEIEN 14;1779;HALDEN;"KONTROLLORGAN01, BILVERKSTED01";915356559
STOA BIL AS;ÅSBIEVEIEN 16;4848;ARENDAL;"KONTROLLORGAN01, BILVERKSTED01";912490890
"MECA SERVICE AS, avd. Fyksen Servicecenter Hamar";Ringgata 62-64;2318;HAMAR;"BILVERKSTED01, KONTROLLORGAN01";920377068
Nordvik AS avd. Narvik;Ankenesveien 1;8520;ANKENES;"BILVERKSTED01, KONTROLLORGAN01";946549770
Autotuning Import AS;Mosseveien 60;1640;RÅDE;"BILVERKSTED01, KONTROLLORGAN01";985236305
Oves Yamaha Senter AS;Stamsøyveien 2;4580;Lyngdal;MOTORSYKKELOGMOPED;956641713
LJØRDALEN BIL & MASKIN;Støaveien 168;2425;Ljørdalen;BILVERKSTED01;882605132
Vianor Bilverksted Harstad;Klubbveien 12;9406;HARSTAD;"BILVERKSTED01B, KONTROLLORGAN01";935429447
"Vianor AS, avd Haugesund";Raglamyrvegen 11;5536;HAUGESUND;HJULUTRUSTNING;935429447
Bækken Biloppretting;Fjordlinna 919;2750;GRAN;BILSKADE;981031539
AUTO  CENTER  AS;Lilledalsveien;9802;Vestre Jakobselv;"BILVERKSTED01B, KONTROLLORGAN01B";959208352
Sulland Gjøvik AS;Hadelandsveien 1;2816;GJØVIK;"BILVERKSTED01, KONTROLLORGAN01, BILSKADE";977293227
Hesby Auto;Steinnesvåg;4160;FINNØY;"BILVERKSTED01B, KONTROLLORGAN01";970360204
I.B. Auto AS;Braskereidsvegen 11;2435;BRASKEREIDFOSS;"BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B";913067142
EZ AUTO AS;Vestre Fantoftåsen 21;5072;BERGEN;BILVERKSTED01;921379315
Haugsveen og Fjeldstad Landbruk A/S;Siloveien 1;2335;STANGE;TRAKTOR;983221963
Sebu Bil & Bensin AS;Vindevegen 1;2940;Heggenes;"BILVERKSTED01B, KONTROLLORGAN01B";964861013
NARDO BIL AS;Tungaveien 2;7047;TRONDHEIM;"BILVERKSTED01, BILSKADE, KONTROLLORGAN01";934761472
DØSKELAND MARINE AS;;6973;SANDE I SUNNFJORD;MOTORSYKKELOGMOPED;991208453
ELSA ENGER TRANSPORT;LANDSKAUGVEIEN 28;1914;YTRE ENEBAKK;"BILVERKSTEDALLE, KONTROLLORGAN04, BILSKADE, FARTSSKRIVER";964938466
IKB TJENESTE KRZYSZTOF BRZESCINSKI;NORDRE KONGSVEG 71;2372;BRØTTUM;BILSKADE;915478395
RYDS BILGLASS AS avd. Fredrikstad;ENSJØVEIEN 9;0655;OSLO;BILGLASS;913387783
Håland Auto DA;Hatlestrandsvegen 526;5635;HATLESTRAND;"BILVERKSTED01, KONTROLLORGAN01";971225947
Mickelson Karosseri AS;Gubberudvn. 117B;2312;OTTESTAD;BILSKADE;992569875
